Date,Store ID,Product ID,Quantity Sold,Revenue
1990-11-04,11,BADID,NaN,
2016-05-04,75,,,197.19
2011-01-10,49,Oc-2087,NaN,
2014-04-18,,,NaN,294.86
1998-03-30,1,BADID,18,266.89
1984-05-24,,BADID,NaN,
1977-11-02,,BADID,27,
2000-03-26,,,30,
2003-09-04,,,NaN,
2011-10-13,,Lr-6602,,
2009-01-25,,,,214.66
1987-08-02,,BADID,,
2002-07-13,,,NaN,65.88
1970-09-02,,,45,
1999-09-07,12,ZY-0108,50,224.08
1978-12-22,,BADID,,138.02
2011-07-17,,,NaN,
2019-01-15,,Zf-6107,35,
2002-04-23,,BADID,NaN,
1982-05-04,,BADID,NaN,
2018-12-11,,,4,
1981-11-08,,BADID,,
2024-03-29,,Kr-0708,46,
1987-01-19,92,BADID,50,
2021-03-24,,BADID,NaN,
2003-06-25,,BADID,14,241.41
2012-05-18,,mz-7592,,
1979-05-11,97,BADID,,
2001-04-30,,BADID,5,
1991-07-09,21,BADID,,
2009-02-11,48,,,307.14
1979-05-24,,BADID,38,417.07
1999-10-02,,,,
1997-09-19,86,,,
2006-06-19,73,BADID,NaN,
1972-06-10,,BADID,26,
2024-12-20,,BADID,14,
1985-03-22,,,NaN,
1986-08-14,,ZL-0222,NaN,
2016-02-04,,xy-4106,,
2009-12-01,96,CE-9052,NaN,276.17
1981-03-31,74,,,
1981-06-12,,,,292.52
1986-12-03,,BADID,NaN,39.82
1997-12-25,,BU-9783,14,490.84
1985-10-10,28,BADID,NaN,
2002-05-11,97,BADID,,
2020-12-05,,,39,
1977-01-12,27,jy-0165,38,
2015-01-20,,ZS-5939,9,
1996-04-14,7,,,
2017-04-01,,,,
2023-02-03,75,BADID,NaN,
1977-08-20,36,,,
1999-11-05,,,NaN,361.91
2009-09-05,,,34,
2020-10-05,,qn-7408,,
2022-09-13,,,14,440.95
2000-07-07,,BADID,NaN,
1983-01-24,,,,356.87
2024-03-17,,BADID,,
1989-10-27,,BADID,,176.18
1990-05-14,,BADID,6,397.41
1972-11-22,,,,
1972-12-08,,,NaN,
1984-09-10,55,BADID,,
2010-10-25,,BADID,NaN,
1981-01-26,42,gZ-9176,,
1997-10-27,,,,
1981-01-30,,Ot-5898,NaN,
2015-07-25,,,,
1993-05-03,52,YL-8521,12,
1990-01-02,,,,
2022-01-11,,BADID,NaN,
2023-09-12,,,NaN,
2001-06-21,,,NaN,
2019-12-29,,Yz-0843,NaN,
2015-01-31,23,DI-0984,,
1994-01-15,36,,NaN,
1977-07-21,,TQ-6291,,423.82
1986-11-13,,,16,
1974-11-30,100,qp-7191,NaN,
1977-12-15,,,NaN,407.25
2015-04-13,,,16,427.54
1979-06-11,,,NaN,332.22
2017-02-01,,xB-9217,37,
1980-08-08,,BADID,49,27.23
1982-06-09,,,13,
1993-05-12,,,8,261.27
2013-01-27,,zg-3444,NaN,
2005-09-08,,mm-4108,,92.72
1988-04-01,28,aN-5086,NaN,47.87
2020-07-02,7,,28,
2004-11-26,,Cx-1298,,
1991-01-03,,BADID,NaN,
1975-09-02,,UO-1760,36,
1982-09-21,52,,,105.12
1976-07-24,78,BADID,22,
2022-05-16,,wf-5538,NaN,
2021-02-26,65,eh-0167,2,326.39
1990-01-01,15,BADID,,304.51
2021-05-18,89,,,442.15
1974-06-07,,tD-3874,NaN,
1992-01-14,,,,333.67
2019-05-05,24,BADID,,
2023-02-03,,EK-6034,,
2008-06-27,4,mY-9293,,
1983-06-29,,,,114.95
2015-01-18,,,NaN,
1978-04-08,55,PU-2755,41,
2014-09-22,,Sp-8006,,
1975-04-11,43,kh-4265,10,
1983-01-27,15,,,
1993-01-22,8,,25,
1974-12-24,28,,30,
2020-04-19,52,,NaN,463.22
1974-04-28,53,BADID,NaN,
1973-09-22,,,,
1973-12-21,41,,NaN,
1977-03-11,,,,
2000-02-09,,Na-6579,NaN,404.12
1994-10-05,,BADID,,164.18
1979-01-23,,wW-9354,,
1982-11-04,,,29,
1987-10-21,,,,
1975-12-10,,BADID,24,
2023-12-31,51,,,458.57
1975-06-16,23,Wb-1362,,
2013-03-26,25,kE-7508,NaN,
1976-02-19,66,BADID,12,
1975-11-15,,BADID,NaN,134.39
1993-05-20,,BADID,,
1985-01-05,98,,30,168.92
2019-05-22,,eJ-4174,,159.58
2025-03-09,,sD-8301,NaN,344.44
1972-04-13,,,25,
1994-01-22,,,NaN,
2007-07-07,,EQ-2722,,68.07
1979-11-07,60,,35,28.25
2025-01-07,,,,
1999-11-14,,,29,
1997-03-13,,BADID,NaN,
2001-02-04,18,BADID,NaN,
2024-11-22,45,Eh-3015,NaN,235.9
1982-06-24,,,NaN,132.43
1977-07-13,,,,
1999-11-07,,BADID,42,
2012-12-12,,,,
2024-06-19,,BADID,NaN,
2011-11-25,,hc-3202,46,254.7
2007-04-01,,,NaN,
1994-07-07,68,BADID,NaN,247.51
1972-02-29,90,BADID,,497.99
1991-04-08,37,BADID,NaN,
1972-01-22,,BADID,38,
2022-07-12,21,dC-2736,NaN,
1972-09-07,70,,31,
2016-09-20,77,,NaN,55.88
2004-11-08,,BADID,NaN,
